"date","fremont_bridge_nb","fremont_bridge_sb"
"2017-01-11T12:00:00.000","22","14"
"2012-10-15T21:00:00.000","18","18"
"2015-11-08T02:00:00.000","0","0"
"2012-10-15T23:00:00.000","7","7"
"2017-01-06T14:00:00.000","17","24"
"2017-01-07T11:00:00.000","32","22"
"2017-01-08T15:00:00.000","8","8"
"2017-01-29T02:00:00.000","1","3"
"2017-01-30T17:00:00.000","100","354"
"2017-01-05T18:00:00.000","58","127"
"2017-01-13T04:00:00.000","2","1"
"2017-01-08T22:00:00.000","2","3"
"2017-01-20T01:00:00.000","3","0"
"2017-01-10T13:00:00.000","20","15"
"2017-01-20T15:00:00.000","40","53"
"2017-01-17T13:00:00.000","13","15"
"2017-01-02T05:00:00.000","2","2"
"2017-01-26T02:00:00.000","3","2"
"2017-01-25T09:00:00.000","113","74"
"2017-01-04T01:00:00.000","0","1"
"2017-01-31T23:00:00.000","6","9"
"2017-01-12T00:00:00.000","2","4"
"2017-01-12T17:00:00.000","68","194"
"2017-01-03T11:00:00.000","17","25"
"2017-01-14T08:00:00.000","14","13"
"2017-01-20T17:00:00.000","88","254"
"2017-01-13T10:00:00.000","30","31"
"2017-01-10T21:00:00.000","6","12"
"2017-01-21T18:00:00.000","8","31"
"2012-10-17T01:00:00.000","3","3"
"2017-01-16T12:00:00.000","40","53"
"2017-01-06T18:00:00.000","41","122"
"2017-01-04T22:00:00.000","8","4"
"2017-01-10T14:00:00.000","19","27"
"2017-01-15T09:00:00.000","17","13"
"2017-01-25T20:00:00.000","22","27"
"2017-01-04T14:00:00.000","17","27"
"2017-01-17T02:00:00.000","0","1"
"2017-01-12T16:00:00.000","54","87"
"2017-01-10T10:00:00.000","25","28"
"2017-01-12T08:00:00.000","158","113"
"2017-01-14T00:00:00.000","1","1"
"2017-01-02T16:00:00.000","25","29"
"2017-01-24T13:00:00.000","42","28"
"2017-01-22T18:00:00.000","14","14"
"2017-01-28T01:00:00.000","3","2"
"2017-01-02T15:00:00.000","37","29"
"2017-01-24T03:00:00.000","1","0"
"2017-01-28T16:00:00.000","78","58"
"2017-01-10T12:00:00.000","21","19"
"2017-01-01T17:00:00.000","10","17"
"2017-01-22T11:00:00.000","15","11"
"2017-01-20T00:00:00.000","1","1"
"2017-01-25T22:00:00.000","3","9"
"2017-01-28T20:00:00.000","7","19"
"2017-01-17T05:00:00.000","12","8"
